Facility Name,State,Measure Name,Number of Discharges,Excess Readmission Ratio,Predicted Readmission Rate,Expected Readmission Rate,Number of Readmissions,Start Date,End Date,Excess Readmission Ratio_standardized,Predicted Readmission Rate_standardized,Expected Readmission Rate_standardized
DIGNITY HEALTH ARIZONA GENERAL HOSPITAL,AZ,Pneumonia,104.0,0.97,13.19,13.55,12,07/01/2020,06/30/2023,-0.6148530484551824,-1.8299307201338437,-1.9435246153292995
HONORHEALTH SONORAN CROSSING MEDICAL CENTER,AZ,Pneumonia,111.0,1.04,14.91,14.37,19,07/01/2020,06/30/2023,0.4835058495034518,-1.0729688495971206,-1.504337407509479
BANNER OCOTILLO MEDICAL CENTER,AZ,Pneumonia,171.0,1.1,15.72,14.35,33,07/01/2020,06/30/2023,1.4249563334679953,-0.7164926198676173,-1.5150492906270354
NORTHWEST MEDICAL CENTER SAHUARITA,AZ,Pneumonia,126.0,1.04,13.65,13.08,20,07/01/2020,06/30/2023,0.4835058495034518,-1.6274874291763477,-2.1952538685918803
JOHNSON REGIONAL MEDICAL CENTER,AR,Pneumonia,87.0,1.03,13.01,12.68,13,07/01/2020,06/30/2023,0.32659743550936127,-1.9091476600737332,-2.409491530943013
WASHINGTON REGIONAL MEDICAL CENTER,AR,COPD,137.0,0.87,17.0,19.46,15,07/01/2020,06/30/2023,-2.1839371883960865,-0.15317215807284704,1.221836845908681
WASHINGTON REGIONAL MEDICAL CENTER,AR,Pneumonia,402.0,0.96,15.13,15.78,58,07/01/2020,06/30/2023,-0.7717614624492729,-0.9761481452261441,-0.7491496477217374
CHI-ST VINCENT INFIRMARY,AR,COPD,69.0,1.02,17.28,16.97,13,07/01/2020,06/30/2023,0.16968902151527065,-0.029945807055240494,-0.1117926022271189
CHI-ST VINCENT INFIRMARY,AR,Pneumonia,281.0,1.15,18.34,15.96,61,07/01/2020,06/30/2023,2.209498403438445,0.4365539503685532,-0.652742699663727
MERCY HOSPITAL NORTHWEST ARKANSAS,AR,Pneumonia,423.0,0.97,15.09,15.5,62,07/01/2020,06/30/2023,-0.6148530484551824,-0.9937519096572311,-0.8991160113675297
MERCY HOSPITAL NORTHWEST ARKANSAS,AR,COPD,130.0,0.94,18.13,19.19,20,07/01/2020,06/30/2023,-1.0855782904374542,0.3441341871053483,1.077226423821667
CHAMBERS MEMORIAL HOSPITAL,AR,Pneumonia,141.0,1.05,16.11,15.33,26,07/01/2020,06/30/2023,0.6404142634975425,-0.5448559166645236,-0.990167017866761
WHITE COUNTY MEDICAL CENTER,AR,Pneumonia,514.0,1.13,18.4,16.26,103,07/01/2020,06/30/2023,1.8956815754502638,0.4629595970151825,-0.49206445290037737
WHITE COUNTY MEDICAL CENTER,AR,COPD,289.0,1.1,21.15,19.27,67,07/01/2020,06/30/2023,1.4249563334679953,1.6732184016523848,1.1200739562918924
MENA REGIONAL HEALTH SYSTEM,AR,Pneumonia,74.0,1.05,14.33,13.6,14,07/01/2020,06/30/2023,0.6404142634975425,-1.328223433847876,-1.9167449075354086
UAMS MEDICAL CENTER,AR,COPD,75.0,1.01,19.03,18.81,15,07/01/2020,06/30/2023,0.012780607521180043,0.7402188868047972,0.8737006445880898
UAMS MEDICAL CENTER,AR,Pneumonia,324.0,1.03,18.24,17.74,61,07/01/2020,06/30/2023,0.32659743550936127,0.39254453929083616,0.3006148977988107
NORTH ARKANSAS REGIONAL MEDICAL CENTER,AR,Pneumonia,228.0,0.99,13.49,13.64,30,07/01/2020,06/30/2023,-0.3010362204670012,-1.697902486900694,-1.8953211413002948
ST BERNARDS MEDICAL CENTER,AR,Pneumonia,478.0,0.96,15.5,16.22,71,07/01/2020,06/30/2023,-0.7717614624492729,-0.8133133242385937,-0.513488219135492
ST BERNARDS MEDICAL CENTER,AR,COPD,400.0,1.06,19.89,18.83,83,07/01/2020,06/30/2023,0.797322677491633,1.1186998220731583,0.8844125277056463
NORTHWEST MEDICAL CENTER-SPRINGDALE,AR,COPD,125.0,0.96,18.76,19.51,21,07/01/2020,06/30/2023,-0.7717614624492729,0.621393476894963,1.248616553702573
NORTHWEST MEDICAL CENTER-SPRINGDALE,AR,Pneumonia,278.0,0.81,13.05,16.19,22,07/01/2020,06/30/2023,-3.1253876723606284,-1.8915438956426462,-0.5295560438118257
ST VINCENT HOT SPRINGS,AR,COPD,121.0,1.07,19.04,17.86,27,07/01/2020,06/30/2023,0.9542310914857236,0.744619827912568,0.3648861965041509
ST VINCENT HOT SPRINGS,AR,Pneumonia,526.0,1.0,15.55,15.5,82,07/01/2020,06/30/2023,-0.14412780647291057,-0.7913086186997351,-0.8991160113675297
BAXTER REGIONAL MEDICAL CENTER,AR,COPD,214.0,1.13,17.25,15.31,44,07/01/2020,06/30/2023,1.8956815754502638,-0.04314863037855593,-1.0008789009843173
BAXTER REGIONAL MEDICAL CENTER,AR,Pneumonia,422.0,1.12,15.73,14.02,74,07/01/2020,06/30/2023,1.7387731614561766,-0.7120916787598457,-1.6917953620667197
"CONWAY REGIONAL MEDICAL CENTER, INC",AR,Pneumonia,450.0,0.99,15.71,15.87,70,07/01/2020,06/30/2023,-0.3010362204670012,-0.7208935609753887,-0.7009461736927327
"CONWAY REGIONAL MEDICAL CENTER, INC",AR,COPD,91.0,0.99,16.06,16.23,14,07/01/2020,06/30/2023,-0.3010362204670012,-0.5668606222033822,-0.508132277576713
BAPTIST HEALTH MEDICAL CENTER NORTH LITTLE ROCK,AR,COPD,202.0,0.96,16.69,17.45,31,07/01/2020,06/30/2023,-0.7717614624492729,-0.28960133241376745,0.14529259259424016
BAPTIST HEALTH MEDICAL CENTER NORTH LITTLE ROCK,AR,Pneumonia,699.0,0.99,15.56,15.73,108,07/01/2020,06/30/2023,-0.3010362204670012,-0.7869076775919636,-0.7759293555156284
ARKANSAS METHODIST MEDICAL CENTER,AR,COPD,75.0,1.0,16.98,16.9,13,07/01/2020,06/30/2023,-0.14412780647291057,-0.16197404028839013,-0.14928419313856722
ARKANSAS METHODIST MEDICAL CENTER,AR,Pneumonia,137.0,1.0,14.45,14.41,20,07/01/2020,06/30/2023,-0.14412780647291057,-1.2754121405546166,-1.4829136412743653
ST MARYS REGIONAL MEDICAL CENTER,AR,Pneumonia,182.0,0.93,15.12,16.18,23,07/01/2020,06/30/2023,-1.242486704431543,-0.9805490863339165,-0.5349119853706048
OUACHITA COUNTY MEDICAL CENTER,AR,Pneumonia,54.0,1.08,14.76,13.67,13,07/01/2020,06/30/2023,1.1111395054798143,-1.1389829662136954,-1.8792533166239602
BAPTIST HEALTH MEDICAL CENTER-DREW COUNTY,AR,COPD,107.0,1.06,17.34,16.39,22,07/01/2020,06/30/2023,0.797322677491633,-0.0035401604086111914,-0.4224372126362599
BAPTIST HEALTH MEDICAL CENTER-DREW COUNTY,AR,Pneumonia,230.0,1.1,16.23,14.69,44,07/01/2020,06/30/2023,1.4249563334679953,-0.4920446233712634,-1.332947277628573
BAPTIST HEALTH - FORT SMITH,AR,Pneumonia,594.0,1.01,17.09,16.96,102,07/01/2020,06/30/2023,0.012780607521180043,-0.1135636881029023,-0.11714854378589615
BAPTIST HEALTH - FORT SMITH,AR,COPD,261.0,1.02,20.17,19.74,54,07/01/2020,06/30/2023,0.16968902151527065,1.241926173090765,1.3718032095544725
MERCY HOSPITAL FORT SMITH,AR,Pneumonia,564.0,1.01,16.35,16.17,93,07/01/2020,06/30/2023,0.012780607521180043,-0.4392333300780033,-0.5402679269293821
MERCY HOSPITAL FORT SMITH,AR,COPD,199.0,1.04,18.44,17.77,39,07/01/2020,06/30/2023,0.4835058495034518,0.4805633614462703,0.31668272247514617
GREAT RIVER MEDICAL CENTER,AR,Pneumonia,66.0,1.05,16.53,15.79,14,07/01/2020,06/30/2023,0.6404142634975425,-0.3600163901381138,-0.7437937061629593
JEFFERSON REGIONAL MEDICAL CENTER,AR,COPD,144.0,0.96,16.41,17.14,21,07/01/2020,06/30/2023,-0.7717614624492729,-0.412827683431374,-0.020741595727886735
JEFFERSON REGIONAL MEDICAL CENTER,AR,Pneumonia,227.0,1.15,18.27,15.9,51,07/01/2020,06/30/2023,2.209498403438445,0.4057473626141516,-0.6848783490163972
NATIONAL PARK MEDICAL CENTER,AR,Pneumonia,302.0,1.0,16.33,16.4,49,07/01/2020,06/30/2023,-0.14412780647291057,-0.4480352122935479,-0.41708127107748266
NATIONAL PARK MEDICAL CENTER,AR,COPD,79.0,1.01,18.42,18.28,15,07/01/2020,06/30/2023,0.012780607521180043,0.4717614792307272,0.5898357419728408
SALINE MEMORIAL HOSPITAL,AR,Pneumonia,166.0,1.08,15.63,14.49,31,07/01/2020,06/30/2023,1.1111395054798143,-0.756101089837562,-1.4400661088041389
SALINE MEMORIAL HOSPITAL,AR,COPD,91.0,1.0,16.43,16.41,15,07/01/2020,06/30/2023,-0.14412780647291057,-0.40402580121583087,-0.4117253295187035
SOUTH ARKANSAS REGIONAL HOSPITAL LLC,AR,Pneumonia,169.0,0.9,12.97,14.42,15,07/01/2020,06/30/2023,-1.7132119464138147,-1.9267514245048194,-1.477557699715587
BAPTIST HEALTH MEDICAL CENTER-LITTLE ROCK,AR,COPD,262.0,0.93,16.98,18.28,40,07/01/2020,06/30/2023,-1.242486704431543,-0.16197404028839013,0.5898357419728408
BAPTIST HEALTH MEDICAL CENTER-LITTLE ROCK,AR,Pneumonia,802.0,1.02,15.88,15.49,129,07/01/2020,06/30/2023,0.16968902151527065,-0.6460775621432708,-0.9044719529263079
"BAPTIST MEMORIAL HOSPITAL JONESBORO, INC.",AR,COPD,142.0,1.05,17.56,16.69,28,07/01/2020,06/30/2023,0.6404142634975425,0.09328054396236449,-0.26175896587291025
"BAPTIST MEMORIAL HOSPITAL JONESBORO, INC.",AR,Pneumonia,597.0,1.1,17.5,15.89,111,07/01/2020,06/30/2023,1.4249563334679953,0.06687489731573518,-0.6902342905751754
WHITE RIVER MEDICAL CENTER,AR,COPD,151.0,0.93,18.75,20.11,24,07/01/2020,06/30/2023,-1.242486704431543,0.6169925357871907,1.5699730472292703
WHITE RIVER MEDICAL CENTER,AR,Pneumonia,247.0,1.03,16.91,16.36,44,07/01/2020,06/30/2023,0.32659743550936127,-0.19278062804279178,-0.43850503731259544
"ARKANSAS HEART HOSPITAL, LLC",AR,Pneumonia,157.0,1.06,16.05,15.16,29,07/01/2020,06/30/2023,0.797322677491633,-0.571261563311153,-1.0812180243659921
ST VINCENT MEDICAL CENTER/NORTH,AR,Pneumonia,72.0,1.01,15.61,15.44,12,07/01/2020,06/30/2023,0.012780607521180043,-0.7649029720531059,-0.9312516607201998
BAPTIST HEALTH MEDICAL CENTER- CONWAY,AR,COPD,75.0,1.01,17.71,17.5,14,07/01/2020,06/30/2023,0.012780607521180043,0.1592946605789401,0.1720723003881321
BAPTIST HEALTH MEDICAL CENTER- CONWAY,AR,Pneumonia,250.0,1.03,16.35,15.84,43,07/01/2020,06/30/2023,0.32659743550936127,-0.4392333300780033,-0.7170139983690673
ARKANSAS HEART HOSPITAL-ENCORE,AR,Pneumonia,80.0,1.01,16.33,16.11,14,07/01/2020,06/30/2023,0.012780607521180043,-0.4480352122935479,-0.5724035762820532
ST ROSE HOSPITAL,CA,COPD,56.0,1.09,17.38,15.91,15,07/01/2020,06/30/2023,1.268047919473905,0.01406360402247501,-0.6795224074576189
ST ROSE HOSPITAL,CA,Pneumonia,120.0,1.08,17.37,16.1,26,07/01/2020,06/30/2023,1.1111395054798143,0.009662662914704242,-0.5777595178408305
PROVIDENCE ST JOSEPH HOSPITAL,CA,Pneumonia,374.0,0.93,15.51,16.71,53,07/01/2020,06/30/2023,-1.242486704431543,-0.8089123831308221,-0.25104708275535387
PROVIDENCE ST JOSEPH HOSPITAL,CA,COPD,83.0,1.01,20.78,20.54,18,07/01/2020,06/30/2023,0.012780607521180043,1.510383580664835,1.8002785342567376
PENINSULA MEDICAL CENTER,CA,Pneumonia,192.0,0.99,14.4,14.54,27,07/01/2020,06/30/2023,-0.3010362204670012,-1.2974168460934743,-1.413286401010248
PROVIDENCE QUEEN OF THE VALLEY MEDICAL CENTER,CA,COPD,79.0,0.95,20.85,22.01,13,07/01/2020,06/30/2023,-0.9286698764433635,1.5411901684192366,2.5876019433971504
PROVIDENCE QUEEN OF THE VALLEY MEDICAL CENTER,CA,Pneumonia,280.0,0.93,15.33,16.49,38,07/01/2020,06/30/2023,-1.242486704431543,-0.8881293230707116,-0.36887779704847795
SUTTER AMADOR HOSPITAL,CA,Pneumonia,161.0,0.93,12.73,13.64,16,07/01/2020,06/30/2023,-1.242486704431543,-2.032374011091339,-1.8953211413002948
MERCY GENERAL HOSPITAL,CA,COPD,71.0,1.01,21.23,20.93,16,07/01/2020,06/30/2023,0.012780607521180043,1.7084259305145586,2.009160255049092
MERCY GENERAL HOSPITAL,CA,Pneumonia,225.0,1.06,17.78,16.77,44,07/01/2020,06/30/2023,0.797322677491633,0.19010124833334172,-0.2189114334026847
RIVERSIDE COMMUNITY HOSPITAL,CA,COPD,73.0,1.08,22.27,20.69,21,07/01/2020,06/30/2023,1.1111395054798143,2.166123805722809,1.8806176576384133
RIVERSIDE COMMUNITY HOSPITAL,CA,Pneumonia,303.0,0.98,18.62,19.0,55,07/01/2020,06/30/2023,-0.45794463446109174,0.5597803013861598,0.9754635342048784
PARADISE VALLEY HOSPITAL,CA,COPD,29.0,1.06,25.12,23.79,11,07/01/2020,06/30/2023,0.797322677491633,3.4203920214377286,3.540959540859688
PARADISE VALLEY HOSPITAL,CA,Pneumonia,83.0,1.01,19.26,18.98,17,07/01/2020,06/30/2023,0.012780607521180043,0.8414405322835452,0.9647516510873221
UC SAN DIEGO HEALTH HILLCREST - HILLCREST MED CTR,CA,COPD,98.0,1.08,22.78,21.18,27,07/01/2020,06/30/2023,1.1111395054798143,2.390571802219164,2.1430587940185495
UC SAN DIEGO HEALTH HILLCREST - HILLCREST MED CTR,CA,Pneumonia,558.0,1.01,18.92,18.81,106,07/01/2020,06/30/2023,0.012780607521180043,0.6918085346193094,0.8737006445880898
GROSSMONT HOSPITAL,CA,COPD,269.0,1.02,21.02,20.55,58,07/01/2020,06/30/2023,0.16968902151527065,1.6160061672513537,1.8056344758155167
GROSSMONT HOSPITAL,CA,Pneumonia,512.0,1.02,17.09,16.72,89,07/01/2020,06/30/2023,0.16968902151527065,-0.1135636881029023,-0.24569114119657662
MAD RIVER COMMUNITY HOSPITAL,CA,Pneumonia,92.0,1.05,16.02,15.26,18,07/01/2020,06/30/2023,0.6404142634975425,-0.5844643866344683,-1.0276586087782091
OROVILLE HOSPITAL,CA,Pneumonia,796.0,1.49,25.77,17.27,234,07/01/2020,06/30/2023,7.544384479237522,3.7064531934428846,0.048885644536230746
OROVILLE HOSPITAL,CA,COPD,101.0,1.28,26.49,20.75,43,07/01/2020,06/30/2023,4.249307785361623,4.023320953202442,1.9127533069910825
BAKERSFIELD MEMORIAL HOSPITAL,CA,COPD,113.0,1.06,19.7,18.56,26,07/01/2020,06/30/2023,0.797322677491633,1.0350819410254966,0.7398021056186321
BAKERSFIELD MEMORIAL HOSPITAL,CA,Pneumonia,220.0,1.0,17.16,17.09,38,07/01/2020,06/30/2023,-0.14412780647291057,-0.08275710034850066,-0.04752130352177866
SANTA CLARA VALLEY MEDICAL CENTER,CA,Pneumonia,536.0,1.04,17.59,16.92,97,07/01/2020,06/30/2023,0.4835058495034518,0.10648336728567992,-0.13857231002100892
SANTA CLARA VALLEY MEDICAL CENTER,CA,COPD,128.0,1.02,19.96,19.51,27,07/01/2020,06/30/2023,0.16968902151527065,1.14950640982756,1.248616553702573
ENLOE HEALTH,CA,Pneumonia,1011.0,1.21,19.49,16.17,210,07/01/2020,06/30/2023,3.1509488874029885,0.9426621777622917,-0.5402679269293821
ENLOE HEALTH,CA,COPD,617.0,1.07,19.07,17.78,122,07/01/2020,06/30/2023,0.9542310914857236,0.7578226512358834,0.32203866403392534
LAC/OLIVE VIEW-UCLA MEDICAL CENTER,CA,Pneumonia,61.0,0.99,18.94,19.09,11,07/01/2020,06/30/2023,-0.3010362204670012,0.7006104168348525,1.0236670082338832
ST ELIZABETH COMMUNITY HOSPITAL,CA,COPD,79.0,0.97,19.12,19.77,13,07/01/2020,06/30/2023,-0.6148530484551824,0.779827356774742,1.387871034230808
ST ELIZABETH COMMUNITY HOSPITAL,CA,Pneumonia,138.0,1.02,15.83,15.56,23,07/01/2020,06/30/2023,0.16968902151527065,-0.6680822676821294,-0.8669803620148596
ALTA BATES SUMMIT MEDICAL CENTER,CA,Pneumonia,265.0,1.0,17.07,17.12,45,07/01/2020,06/30/2023,-0.14412780647291057,-0.1223655703184454,-0.031453478845443125
ALTA BATES SUMMIT MEDICAL CENTER,CA,COPD,92.0,1.04,19.92,19.09,21,07/01/2020,06/30/2023,0.4835058495034518,1.1319026453964738,1.0236670082338832
EL CENTRO REGIONAL MEDICAL CENTER,CA,Pneumonia,278.0,1.01,15.91,15.73,45,07/01/2020,06/30/2023,0.012780607521180043,-0.6328747388199562,-0.7759293555156284
CALIFORNIA PACIFIC MEDICAL CENTER- VAN NESS CAMPUS,CA,Pneumonia,179.0,1.12,17.9,15.93,40,07/01/2020,06/30/2023,1.7387731614561766,0.2429125416266003,-0.6688105243400626
CALIFORNIA PACIFIC MEDICAL CENTER - MISSION BERNAL,CA,COPD,54.0,1.02,19.68,19.26,12,07/01/2020,06/30/2023,0.16968902151527065,1.0262800588099534,1.1147180147331153
CALIFORNIA PACIFIC MEDICAL CENTER - MISSION BERNAL,CA,Pneumonia,123.0,1.0,14.39,14.32,18,07/01/2020,06/30/2023,-0.14412780647291057,-1.301817787201246,-1.53111711530337
ANTELOPE VALLEY HOSPITAL,CA,Pneumonia,330.0,1.06,18.18,17.16,64,07/01/2020,06/30/2023,0.797322677491633,0.36613889264420685,-0.010029712610330345
KAWEAH HEALTH MEDICAL CENTER,CA,COPD,181.0,1.01,18.54,18.41,34,07/01/2020,06/30/2023,0.012780607521180043,0.5245727725239858,0.6594629822369583
KAWEAH HEALTH MEDICAL CENTER,CA,Pneumonia,589.0,0.96,15.44,16.12,88,07/01/2020,06/30/2023,-0.7717614624492729,-0.8397189708852237,-0.567047634723274
GLENDALE MEM HOSPITAL & HLTH CENTER,CA,Pneumonia,333.0,1.08,19.71,18.27,71,07/01/2020,06/30/2023,1.1111395054798143,1.039482882133269,0.5844798004140617
COMMUNITY REGIONAL MEDICAL CENTER,CA,COPD,155.0,1.07,21.09,19.72,37,07/01/2020,06/30/2023,0.9542310914857236,1.6468127550057554,1.361091326436916
COMMUNITY REGIONAL MEDICAL CENTER,CA,Pneumonia,376.0,0.97,16.16,16.59,59,07/01/2020,06/30/2023,-0.6148530484551824,-0.5228512111256651,-0.31531838146069413
HOLLYWOOD PRESBYTERIAN MEDICAL CENTER,CA,COPD,77.0,0.99,20.37,20.58,15,07/01/2020,06/30/2023,-0.3010362204670012,1.3299449952461975,1.8217023004918502
HOLLYWOOD PRESBYTERIAN MEDICAL CENTER,CA,Pneumonia,277.0,1.16,21.48,18.56,70,07/01/2020,06/30/2023,2.3664068174325354,1.8184494582088497,0.7398021056186321
PROVIDENCE ST. JOSEPH HOSPITAL,CA,COPD,64.0,1.03,20.06,19.39,15,07/01/2020,06/30/2023,0.32659743550936127,1.1935158209052756,1.1843452549972329
PROVIDENCE ST. JOSEPH HOSPITAL,CA,Pneumonia,381.0,0.92,15.46,16.87,53,07/01/2020,06/30/2023,-1.3993951184256337,-0.8309170886696798,-0.16535201781490086
KAISER FOUNDATION HOSPITAL - OAKLAND/RICHMOND,CA,Pneumonia,95.0,0.97,17.09,17.66,14,07/01/2020,06/30/2023,-0.6148530484551824,-0.1135636881029023,0.25776736532858513
KAISER FOUNDATION HOSPITAL - OAKLAND/RICHMOND,CA,COPD,71.0,1.09,22.13,20.38,21,07/01/2020,06/30/2023,1.268047919473905,2.104510630214006,1.7145834693162845
SCRIPPS MERCY HOSPITAL,CA,Pneumonia,247.0,1.03,18.2,17.67,47,07/01/2020,06/30/2023,0.32659743550936127,0.37494077485974997,0.26312330688736424
SCRIPPS MERCY HOSPITAL,CA,COPD,98.0,1.06,22.44,21.08,26,07/01/2020,06/30/2023,0.797322677491633,2.240939804554928,2.089499378430766
PROVIDENCE LITTLE CO OF MARY MED CTR SAN PEDRO,CA,Pneumonia,99.0,1.01,17.26,17.03,18,07/01/2020,06/30/2023,0.012780607521180043,-0.03874768927078359,-0.07965695287444782
ST JOHNS REGIONAL MEDICAL CENTER,CA,COPD,129.0,0.89,16.34,18.37,14,07/01/2020,06/30/2023,-1.8701203604079053,-0.4436342711857756,0.6380392160018455
ST JOHNS REGIONAL MEDICAL CENTER,CA,Pneumonia,589.0,1.04,17.41,16.8,105,07/01/2020,06/30/2023,0.4835058495034518,0.027266427345790444,-0.20284360872634916
ST JOSEPH'S MEDICAL CENTER OF STOCKTON,CA,Pneumonia,277.0,1.01,17.92,17.82,50,07/01/2020,06/30/2023,0.012780607521180043,0.251714423842145,0.3434624302690381
COMMUNITY HOSPITAL OF HUNTINGTON PARK,CA,Pneumonia,71.0,1.08,20.32,18.79,20,07/01/2020,06/30/2023,1.1111395054798143,1.3079402897073389,0.8629887614705335
SAINT AGNES MEDICAL CENTER,CA,COPD,373.0,1.07,20.3,18.96,80,07/01/2020,06/30/2023,0.9542310914857236,1.2991384074917958,0.9540397679697656
SAINT AGNES MEDICAL CENTER,CA,Pneumonia,822.0,1.12,17.08,15.27,148,07/01/2020,06/30/2023,1.7387731614561766,-0.11796462921067463,-1.022302667219431
SAN ANTONIO REGIONAL HOSPITAL,CA,Pneumonia,388.0,0.93,14.88,15.97,53,07/01/2020,06/30/2023,-1.242486704431543,-1.0861716729204351,-0.6473867581049488
SHARP MEMORIAL HOSPITAL,CA,COPD,140.0,1.01,19.7,19.57,28,07/01/2020,06/30/2023,0.012780607521180043,1.0350819410254966,1.2807522030552423
SHARP MEMORIAL HOSPITAL,CA,Pneumonia,394.0,0.96,15.14,15.74,57,07/01/2020,06/30/2023,-0.7717614624492729,-0.9717472041183726,-0.7705734139568502
SUTTER SOLANO MEDICAL CENTER,CA,Pneumonia,131.0,0.96,15.77,16.4,18,07/01/2020,06/30/2023,-0.7717614624492729,-0.6944879143287594,-0.41708127107748266
SUTTER SOLANO MEDICAL CENTER,CA,COPD,67.0,1.01,18.33,18.12,13,07/01/2020,06/30/2023,0.012780607521180043,0.4321530092607809,0.5041406770323877
PARKVIEW COMMUNITY HOSPITAL MEDICAL CENTER,CA,Pneumonia,160.0,1.03,18.74,18.2,32,07/01/2020,06/30/2023,0.32659743550936127,0.6125915946794184,0.5469882095026133
ADVENTIST HEALTH WHITE MEMORIAL,CA,Pneumonia,90.0,1.08,19.31,17.82,23,07/01/2020,06/30/2023,1.1111395054798143,0.8634452378224022,0.3434624302690381
SAINT FRANCIS MEDICAL CENTER,CA,Pneumonia,157.0,1.0,19.82,19.86,31,07/01/2020,06/30/2023,-0.14412780647291057,1.0878932343187568,1.4360745082598128
MARIAN REGIONAL MEDICAL CENTER,CA,Pneumonia,400.0,1.04,15.65,15.1,65,07/01/2020,06/30/2023,0.4835058495034518,-0.7472992076220188,-1.1133536737186622
MARIAN REGIONAL MEDICAL CENTER,CA,COPD,162.0,0.99,17.07,17.25,27,07/01/2020,06/30/2023,-0.3010362204670012,-0.1223655703184454,0.03817376141867436
"SUTTER MEDICAL CENTER, SACRAMENTO",CA,COPD,126.0,1.09,19.38,17.72,30,07/01/2020,06/30/2023,1.268047919473905,0.8942518255768038,0.2899030146812543
"SUTTER MEDICAL CENTER, SACRAMENTO",CA,Pneumonia,280.0,0.95,15.45,16.21,40,07/01/2020,06/30/2023,-0.9286698764433635,-0.8353180297774522,-0.5188441606942693
LOMPOC VALLEY MEDICAL CENTER,CA,Pneumonia,109.0,1.06,16.36,15.37,22,07/01/2020,06/30/2023,0.797322677491633,-0.4348323889702325,-0.9687432516316481
SANTA MONICA - UCLA MED CTR & ORTHOPAEDIC HOSPITAL,CA,COPD,90.0,1.0,19.21,19.3,17,07/01/2020,06/30/2023,-0.14412780647291057,0.8194358267446867,1.1361417809682282
SANTA MONICA - UCLA MED CTR & ORTHOPAEDIC HOSPITAL,CA,Pneumonia,460.0,1.16,21.79,18.77,111,07/01/2020,06/30/2023,2.3664068174325354,1.9548786325497702,0.852276878352977
PALOMAR HEALTH DOWNTOWN CAMPUS,CA,COPD,74.0,1.02,18.25,17.82,15,07/01/2020,06/30/2023,0.16968902151527065,0.3969454803986085,0.3434624302690381
PALOMAR HEALTH DOWNTOWN CAMPUS,CA,Pneumonia,447.0,0.86,13.19,15.35,49,07/01/2020,06/30/2023,-2.340845602390177,-1.8299307201338437,-0.9794551347492045
NORTHRIDGE HOSPITAL MEDICAL CENTER,CA,COPD,48.0,1.04,21.72,20.87,13,07/01/2020,06/30/2023,0.4835058495034518,1.9240720447953685,1.9770246056964227
NORTHRIDGE HOSPITAL MEDICAL CENTER,CA,Pneumonia,272.0,1.03,19.41,18.82,55,07/01/2020,06/30/2023,0.32659743550936127,0.9074546489001193,0.879056586146869
DOCTORS HOSPITAL OF MANTECA,CA,Pneumonia,147.0,1.04,17.08,16.37,28,07/01/2020,06/30/2023,0.4835058495034518,-0.11796462921067463,-0.43314909575381627
ADVENTIST HEALTH HANFORD,CA,COPD,118.0,0.93,15.79,17.06,14,07/01/2020,06/30/2023,-1.242486704431543,-0.6856860321132163,-0.0635891281981142
ADVENTIST HEALTH HANFORD,CA,Pneumonia,307.0,0.89,13.52,15.15,34,07/01/2020,06/30/2023,-1.8701203604079053,-1.6846996635773794,-1.0865739659247704
DAMERON HOSPITAL,CA,Pneumonia,127.0,1.0,16.63,16.66,21,07/01/2020,06/30/2023,-0.14412780647291057,-0.3160069790603983,-0.2778267905492458
USC VERDUGO HILLS HOSPITAL,CA,Pneumonia,316.0,1.07,18.77,17.55,64,07/01/2020,06/30/2023,0.9542310914857236,0.6257944180027338,0.198852008182024
REGIONAL MEDICAL CENTER OF SAN JOSE,CA,COPD,55.0,1.04,17.95,17.34,12,07/01/2020,06/30/2023,0.4835058495034518,0.26491724716545884,0.08637723544767906
REGIONAL MEDICAL CENTER OF SAN JOSE,CA,Pneumonia,441.0,1.12,17.25,15.36,84,07/01/2020,06/30/2023,1.7387731614561766,-0.04314863037855593,-0.9740991931904264
VALLEY PRESBYTERIAN HOSPITAL,CA,Pneumonia,249.0,0.97,18.92,19.49,45,07/01/2020,06/30/2023,-0.6148530484551824,0.6918085346193094,1.2379046705850147
VALLEY PRESBYTERIAN HOSPITAL,CA,COPD,50.0,1.03,23.31,22.53,14,07/01/2020,06/30/2023,0.32659743550936127,2.62382168093106,2.866110904453622
WOODLAND MEMORIAL HOSPITAL,CA,Pneumonia,89.0,1.07,16.36,15.32,19,07/01/2020,06/30/2023,0.9542310914857236,-0.4348323889702325,-0.9955229594255391
TRI-CITY MEDICAL CENTER,CA,Pneumonia,231.0,0.99,15.32,15.41,35,07/01/2020,06/30/2023,-0.3010362204670012,-0.8925302641784831,-0.9473194853965344
ST BERNARDINE MEDICAL CENTER,CA,COPD,48.0,1.04,20.35,19.65,12,07/01/2020,06/30/2023,0.4835058495034518,1.3211431130306543,1.3235997355254678
ST BERNARDINE MEDICAL CENTER,CA,Pneumonia,127.0,0.95,17.52,18.35,19,07/01/2020,06/30/2023,-0.9286698764433635,0.07567677953127828,0.6273273328842891
NOVATO COMMUNITY HOSPITAL,CA,Pneumonia,94.0,1.01,14.05,13.88,14,07/01/2020,06/30/2023,0.012780607521180043,-1.4514497848654817,-1.7667785438896153
SAN GABRIEL VALLEY MEDICAL CENTER,CA,Pneumonia,449.0,1.04,19.21,18.47,89,07/01/2020,06/30/2023,0.4835058495034518,0.8194358267446867,0.6915986315896274
